sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
02036591,7.6,5.5,5.8,5.75,7.25,6.5,,,,N1
02036592,8.0,8.25,9.0,,,,8.0,8.5,9.5,N1
02036593,8.2,7.5,8.0,,,,6.75,7.25,9.0,N1
02036594,7.6,5.5,7.8,7.75,5.0,7.25,,,,N1
02036595,8.8,5.25,8.0,7.75,5.0,6.0,,,,N1
02036596,6.6,5.25,5.6,6.0,7.0,5.75,,,,N1
02036597,6.2,7.5,8.2,5.25,5.0,6.5,,,,N1
02036598,7.0,7.75,,,,,7.0,6.75,9.25,
02036599,6.0,5.5,6.4,5.75,7.25,3.75,,,,N1
02036600,6.8,7.75,8.2,6.25,5.75,6.5,,,,N1
02036601,7.6,6.25,4.4,,,,6.0,8.0,8.75,N1
02036602,8.0,6.0,8.2,7.25,5.75,6.25,,,,N1
02036603,7.4,6.25,5.8,5.0,6.5,6.0,,,,N1
02036604,8.8,4.0,9.0,8.5,5.75,6.75,,,,N1
02036605,5.8,6.0,7.2,,,,6.25,5.25,7.5,N1
02036606,8.8,7.25,8.6,6.0,6.0,6.25,,,,N1
02036607,8.6,6.5,5.2,8.25,8.0,6.75,,,,N1
02036608,8.2,6.5,8.0,5.75,8.5,8.5,,,,N1
02036609,7.6,7.0,7.6,7.5,5.75,5.0,,,,N1
02036610,8.8,6.25,9.6,8.75,7.25,8.5,,,,N1
02036611,6.6,7.25,4.8,,,,4.5,6.0,8.0,N1
02036612,8.8,6.75,8.2,,,,8.0,9.0,9.5,N1
02036613,7.6,6.25,9.0,6.25,6.0,7.0,,,,N1
02036614,7.6,7.25,6.2,5.0,7.25,6.75,,,,N1
02036615,7.0,6.75,6.0,7.5,7.75,6.5,,,,N1
02036616,7.6,5.25,7.4,,,,8.25,8.0,8.0,N1
02036617,7.8,6.0,7.2,6.75,7.5,7.5,,,,N1
02036618,5.4,7.75,5.8,,,,8.0,6.5,9.5,N1
02036619,7.8,6.75,6.4,8.5,8.5,7.25,,,,N1
02036620,8.6,6.25,6.6,3.0,8.75,7.5,,,,N1
02036621,8.4,7.0,8.6,7.25,7.0,7.5,,,,N1
02036622,7.6,6.25,8.2,6.75,7.0,7.0,,,,N1
02036623,7.6,6.75,6.6,7.75,7.75,5.5,,,,N1
02036624,7.4,5.25,9.4,8.25,5.75,6.25,,,,N1
02036625,8.2,7.25,6.4,8.0,7.5,5.75,,,,N1
02036626,6.2,6.0,7.4,,,,4.75,6.5,7.25,N1
02036627,7.4,7.75,8.4,,,,9.25,6.25,8.5,N7
02036628,6.2,6.0,3.8,,,,7.25,6.75,9.0,N1
02036629,6.2,5.25,4.4,,,,7.25,6.5,8.25,N1
02036630,7.8,5.75,6.0,7.5,9.0,2.75,,,,N1
02036631,8.0,7.75,8.0,7.75,4.75,5.0,,,,N1
02036632,7.8,6.5,8.4,7.0,5.5,5.25,,,,N1
02036633,7.8,7.75,6.4,,,,8.5,9.0,9.75,N1
02036634,8.8,8.0,7.8,8.5,9.0,8.0,,,,N1
02036635,7.8,7.5,7.0,8.0,8.0,6.0,,,,N1
02036636,7.4,5.0,8.0,8.0,5.0,7.0,,,,N1
02036637,8.2,6.75,7.8,7.5,5.25,4.75,,,,N1
02036638,8.0,7.75,6.6,7.25,7.25,5.5,,,,N1
02036639,7.4,7.0,5.8,,,,7.75,8.0,9.25,N1
02036640,6.6,6.75,4.8,4.5,7.25,5.75,,,,N1
02036641,6.8,6.5,7.4,,,,5.25,7.75,9.0,N1
02036642,8.4,8.0,7.6,8.0,6.75,6.5,,,,N1
02036643,6.2,7.0,8.2,7.25,3.25,6.5,,,,N1
02036644,8.4,7.0,,8.5,7.75,6.0,,,,
02036645,7.6,4.75,7.0,7.5,5.5,8.25,,,,N1
02036646,8.0,6.75,7.8,8.5,5.0,6.5,,,,N1
02036647,8.6,6.25,8.4,8.25,6.75,5.0,,,,N1
02036648,7.0,5.5,5.8,,,,6.75,8.25,8.75,N1
02036649,6.4,5.0,5.4,7.25,6.5,4.25,,,,N1
02036650,7.0,8.0,8.8,,,,7.0,7.75,7.75,N1
02036651,8.2,6.25,7.6,6.75,5.0,5.5,,,,N1
02036652,6.0,8.0,7.2,,,,7.5,7.25,8.75,N1
02036653,8.6,6.0,8.4,7.5,4.75,4.5,,,,N1
02036654,8.8,5.75,7.8,7.75,8.75,7.75,,,,N1
02036655,6.2,8.0,8.6,,,,6.75,5.25,8.5,N1
02036656,7.8,6.0,8.6,1.75,7.25,6.0,,,,N1
02036657,6.2,2.75,3.6,,,,5.25,5.75,8.25,N1
02036658,8.0,6.25,7.2,8.0,7.75,5.25,,,,N1
02036659,8.2,6.25,8.8,,,,8.5,8.25,9.0,N1
02036660,7.6,6.0,6.6,5.75,7.25,5.5,,,,N1
02036661,7.6,7.0,7.6,8.0,8.25,8.0,,,,N1
02036662,7.6,7.75,7.6,6.5,5.0,6.75,,,,N1
02036663,8.2,7.5,7.2,7.75,7.75,7.25,,,,N1
02036664,7.4,7.5,7.6,,,,7.25,8.5,9.25,N1
02036665,7.6,6.25,6.6,8.5,7.0,5.25,,,,N1
02036666,6.2,6.75,5.2,5.0,4.5,5.5,,,,N1
02036667,8.8,8.0,9.6,7.5,5.75,7.5,,,,N1
02036668,7.0,8.25,6.4,4.5,6.25,6.75,,,,N1
02036669,8.0,7.0,6.6,6.5,8.75,6.75,,,,N1
02036670,8.4,7.75,9.0,7.75,6.5,6.0,,,,N1
02036671,6.8,6.5,3.8,4.75,6.0,7.5,,,,N1
02036672,8.2,6.25,8.8,7.75,3.5,7.25,,,,N1
02036673,8.0,7.5,8.8,7.25,8.25,5.25,,,,N1
02036674,7.4,6.5,7.6,7.0,6.25,6.5,,,,N1
02036675,8.6,5.0,7.4,8.5,7.75,7.0,,,,N1
02036676,7.6,8.25,8.4,,,,7.25,8.25,9.25,N1
02036677,6.8,7.5,8.0,,,,7.5,7.25,8.75,N1
02036678,8.2,7.0,8.0,8.25,7.5,7.25,,,,N1
02036679,7.8,6.75,5.6,8.25,8.25,6.0,,,,N1
02036680,7.4,6.5,7.2,5.5,7.0,5.75,,,,N1
02036681,6.8,7.25,6.4,7.75,5.0,5.5,,,,N1
02036682,7.4,6.5,8.4,3.75,7.25,6.75,,,,N1
02036683,8.0,7.0,8.6,8.0,4.75,7.0,,,,N1
02036684,6.6,7.0,6.0,6.5,6.5,7.25,,,,N1
02036685,6.4,7.0,6.8,,,,6.0,7.0,8.75,N1
02036686,6.6,6.0,5.6,6.0,7.25,5.5,,,,N1
02036687,7.8,8.25,9.4,7.75,7.5,7.25,,,,N1
02036688,8.4,7.5,7.2,7.5,7.5,7.75,,,,N1
02036689,7.2,6.0,8.2,6.75,7.0,7.25,,,,N1
02036690,8.4,6.0,5.2,8.0,6.25,7.25,,,,N1
02036691,7.0,6.0,7.8,,,,7.25,7.5,8.0,N1
02036692,6.8,7.75,8.6,,,,7.75,7.75,7.5,N1
02036693,7.4,7.25,5.6,,,,6.25,6.25,7.75,N1
02036694,8.0,7.25,7.0,7.5,5.0,6.25,,,,N1
02036695,6.4,6.75,7.4,3.0,6.75,6.75,,,,N1
02036696,8.0,6.75,8.4,8.25,7.75,6.5,,,,N1
02036697,6.8,7.25,6.8,,,,7.75,7.5,8.0,N1
02036698,8.0,7.25,8.4,5.5,8.5,8.5,,,,N1
02036699,8.4,7.25,8.8,5.75,7.75,7.5,,,,N1
02036700,8.2,7.75,8.2,9.0,7.75,7.5,,,,N1
02036701,8.2,7.75,8.8,,,,7.0,8.5,9.25,N1
02036702,8.8,7.0,8.6,8.0,6.0,5.75,,,,N1
02036703,8.0,7.0,6.6,8.0,6.5,7.5,,,,N1
02036704,8.4,6.75,8.2,8.5,5.5,7.75,,,,N1
02036705,8.2,5.75,8.6,8.5,5.0,7.75,,,,N1
02036706,7.6,5.75,9.0,8.0,7.5,6.75,,,,N1
02036707,8.6,6.0,7.4,7.25,6.25,7.75,,,,N1
02036708,6.4,6.75,7.4,,,,6.5,7.5,7.0,N1
02036709,7.2,6.5,8.8,7.75,4.75,6.5,,,,N1
02036710,7.0,6.25,5.6,5.5,5.75,7.75,,,,N1
02036711,8.6,7.75,8.2,8.25,5.25,4.0,,,,N1
02036712,7.8,7.25,5.2,6.25,5.25,5.75,,,,N1
02036713,8.0,7.25,8.6,,,,7.5,8.75,9.0,N1
02036714,7.8,6.0,9.0,3.5,8.0,5.0,,,,N1
02036715,7.8,7.5,6.8,8.25,8.5,7.0,,,,N1
02036716,8.4,7.75,8.8,,,,8.75,7.0,9.75,N1
02036717,8.6,7.0,8.6,8.75,7.0,7.0,,,,N1
02036718,8.4,5.75,,7.75,7.75,5.25,,,,
02036719,8.2,7.0,9.2,7.75,5.25,7.0,,,,N1
02036720,8.0,8.75,8.8,6.75,6.0,6.0,,,,N1
02036721,7.0,5.25,8.4,5.5,5.75,5.75,,,,N1
02036722,7.8,5.25,7.0,5.5,7.75,5.5,,,,N1
02036723,7.8,7.0,7.8,,,,6.75,7.5,8.0,N1
02036724,7.6,6.25,9.2,7.75,5.25,6.5,,,,N1
02036725,8.2,6.25,8.6,7.0,7.5,8.0,,,,N1
02036726,7.2,7.5,,8.25,9.0,8.0,,,,
02036727,7.8,8.5,8.0,,,,7.25,7.75,9.5,N1
02036728,6.2,6.5,8.8,4.5,6.25,4.75,,,,N1
02036729,6.8,6.25,6.4,,,,7.0,7.25,9.25,N1
02036730,8.2,5.25,8.4,8.25,5.75,5.0,,,,N1
02036731,7.0,7.25,8.8,7.25,8.0,6.75,,,,N1
02036732,5.6,8.25,7.6,,,,8.5,6.75,7.25,N1
02036733,7.2,4.25,8.6,3.0,8.25,6.75,,,,N1
02036734,7.4,6.75,5.4,7.75,7.0,6.0,,,,N1
02036735,8.2,7.25,9.0,8.75,4.25,7.75,,,,N1
02036736,8.4,8.0,8.8,7.25,4.5,6.5,,,,N1
02036737,7.0,7.25,8.6,5.75,7.75,6.0,,,,N1
02036738,7.8,7.75,7.6,,,,8.5,9.0,9.25,N1
02036739,7.6,7.5,8.6,4.75,7.5,8.25,,,,N1
02036740,6.0,7.0,7.6,7.75,5.75,4.75,,,,N1
02036741,6.4,7.0,7.4,4.75,3.5,5.75,,,,N1
02036742,7.2,4.5,7.6,6.25,4.25,6.5,,,,N1
02036743,7.0,5.75,9.0,,,,6.0,7.75,9.0,N1
02036744,8.0,6.5,8.8,7.75,8.5,5.5,,,,N1
02036745,7.0,6.25,4.8,,,,7.25,7.5,8.0,N1
02036746,8.2,6.5,7.4,7.75,6.75,5.5,,,,N1
02036747,7.6,4.25,8.6,3.5,4.5,5.0,,,,N1
02036748,8.0,7.0,7.6,7.25,7.75,7.5,,,,N1
02036749,7.4,5.5,7.6,8.0,5.75,6.75,,,,N1
02036750,8.4,6.25,7.6,8.0,7.75,7.0,,,,N1
02036751,8.4,7.75,8.2,8.0,8.75,7.5,,,,N1
02036752,8.4,6.5,8.2,6.75,7.0,6.75,,,,N1
02036753,6.0,5.0,6.2,,,,9.25,9.0,9.0,N1
02036754,8.6,6.5,7.0,9.0,9.0,6.75,,,,N1
02036755,7.6,6.5,5.6,7.25,7.5,8.0,,,,N1
02036756,8.0,4.5,6.8,8.25,7.5,5.25,,,,N1
02036757,7.4,6.75,7.0,,,,5.75,7.5,8.0,N1
02036758,7.2,7.5,7.8,,,,7.75,9.0,9.25,N1
02036759,7.4,6.75,7.8,7.5,6.75,6.25,,,,N1
02036760,7.8,5.75,7.4,7.5,6.0,6.0,,,,N1
02036761,7.2,7.5,8.0,,,,6.0,8.5,8.25,N1
02036762,8.2,6.75,8.2,8.5,6.5,6.75,,,,N1
02036763,7.8,6.5,8.8,7.5,6.0,7.0,,,,N1
02036764,8.0,6.25,9.6,8.5,4.0,4.5,,,,N1
02036765,8.4,7.75,8.6,5.5,6.25,7.25,,,,N1
02036766,8.0,5.75,8.2,5.25,7.25,6.0,,,,N1
02036767,6.8,5.5,7.4,7.5,3.75,5.75,,,,N1
02036768,8.4,6.75,9.0,7.75,5.0,6.5,,,,N1
02036769,8.6,6.75,8.2,7.5,7.0,6.0,,,,N1
02036770,7.8,8.0,9.6,,,,8.0,8.0,7.25,N1
02036771,8.0,6.25,5.4,5.75,7.0,6.5,,,,N1
02036772,7.6,6.75,8.0,6.25,7.0,7.0,,,,N1
02036773,8.2,5.25,5.6,7.25,7.25,6.0,,,,N1
02036774,7.6,7.75,8.2,7.75,4.5,8.0,,,,N1
02036775,8.8,5.75,8.2,8.25,4.5,6.5,,,,N1
02036776,8.2,6.25,7.6,9.0,9.0,7.0,,,,N1
02036777,8.4,5.25,6.8,7.25,6.5,6.0,,,,N1
02036778,8.0,7.25,8.6,8.5,8.75,7.25,,,,N1
02036779,8.2,5.5,4.8,7.75,6.75,6.5,,,,N1
02036780,6.4,6.0,5.4,,,,7.0,8.0,9.0,N1
02036781,7.2,7.25,7.2,,,,7.0,7.25,8.75,N1
02036782,8.2,6.75,7.8,5.25,8.0,7.0,,,,N1
02036783,8.0,6.75,8.8,8.0,8.75,7.75,,,,N1
02036784,9.0,6.5,6.2,9.0,8.0,7.25,,,,N1
02036785,7.0,6.0,9.4,7.5,5.5,6.5,,,,N1
02036786,7.6,8.0,6.6,7.75,8.25,7.25,,,,N1
02036787,6.6,5.0,6.8,3.75,6.75,6.0,,,,N1
02036788,7.8,6.0,8.0,6.75,7.75,5.5,,,,N1
02036789,7.4,7.5,9.2,,,,7.5,8.25,8.75,N1
02036790,8.8,7.25,8.8,4.0,8.0,7.0,,,,N1
02036791,7.6,6.75,7.4,8.0,6.0,6.5,,,,N1
02036792,7.2,7.5,8.2,5.75,7.25,6.75,,,,N1
02036793,8.4,4.0,7.2,7.25,6.5,7.5,,,,N1
02036794,7.4,5.0,9.0,7.25,7.25,7.25,,,,N1
02036795,8.2,5.0,8.0,7.75,6.5,6.75,,,,N1
02036796,8.0,6.75,6.6,7.0,7.0,6.75,,,,N1
02036797,7.6,5.75,8.4,6.75,4.25,4.75,,,,N1
02036798,7.8,8.5,9.4,6.0,6.5,6.75,,,,N1
02036799,6.0,6.75,9.0,,,,8.5,9.0,9.0,N1
02036800,6.6,6.0,5.2,,,,8.0,7.5,9.0,N1
02036801,8.6,6.0,,9.0,3.0,5.5,,,,
02036802,6.2,6.0,3.8,,,,7.25,7.75,7.75,N1
02036803,8.0,7.0,8.6,8.75,7.5,5.0,,,,N1
02036804,6.2,5.0,4.4,3.25,3.5,5.0,,,,N1
02036805,8.0,6.75,8.6,7.75,7.0,6.5,,,,N1
02036806,6.4,4.25,4.0,5.5,5.0,6.25,,,,N1
02036807,8.8,5.25,5.4,9.0,8.0,5.5,,,,N1
02036808,8.2,7.75,9.0,6.5,8.75,5.5,,,,N1
02036809,7.0,6.5,6.8,8.25,7.75,5.25,,,,N1
02036810,8.2,7.25,7.0,8.0,8.5,7.0,,,,N1
02036811,7.2,7.0,8.2,7.25,3.0,3.75,,,,N1
02036812,6.8,5.0,5.6,6.25,4.5,6.25,,,,N1
02036813,6.4,6.5,6.2,6.5,6.75,6.25,,,,N1
02036814,8.4,8.0,8.8,9.0,6.25,6.75,,,,N1
02036815,8.2,6.25,6.6,9.0,9.0,6.75,,,,N1
02036816,8.0,7.25,7.8,8.25,6.25,7.0,,,,N1
02036817,8.2,6.75,7.8,7.25,3.25,4.0,,,,N1
02036818,7.2,5.5,6.0,6.25,6.25,6.5,,,,N1
02036819,8.4,6.25,8.0,4.5,8.25,7.5,,,,N1
02036820,6.4,8.0,5.0,5.5,5.5,5.75,,,,N1
02036821,7.6,8.0,5.6,6.25,7.0,5.0,,,,N1
02036822,7.2,5.5,7.2,5.25,6.25,3.25,,,,N1
02036823,7.2,7.75,6.8,7.0,8.0,6.25,,,,N1
02036824,8.0,7.75,7.6,5.0,5.5,4.5,,,,N1
02036825,7.4,8.75,8.4,6.25,6.5,7.0,,,,N1
02036826,8.0,8.0,7.8,3.0,6.0,8.25,,,,N1
02036827,6.2,7.0,4.4,5.0,6.5,5.75,,,,N1
02036828,6.0,6.5,5.4,4.0,6.0,4.25,,,,N1
02036829,7.6,6.5,8.6,6.25,7.75,7.75,,,,N1
02036830,7.4,5.25,4.6,6.5,7.5,6.75,,,,N1
02036831,8.2,7.5,8.2,8.0,4.75,7.75,,,,N1
02036832,7.6,7.75,7.0,6.25,5.75,7.0,,,,N1
02036833,7.8,6.75,7.6,7.5,7.75,4.75,,,,N1
02036834,7.2,6.75,6.2,2.75,6.25,5.25,,,,N1
02036835,7.8,7.75,6.8,5.75,8.0,7.25,,,,N1
02036836,8.6,7.5,7.2,8.75,9.0,7.5,,,,N1
02036837,8.2,8.25,9.0,6.25,4.75,5.75,,,,N1
02036838,7.8,7.75,8.2,7.25,8.25,7.75,,,,N1
02036839,5.8,7.75,5.4,3.0,4.75,4.25,,,,N1
02036840,7.2,6.75,7.4,3.75,7.5,8.5,,,,N1
02036841,7.0,6.75,8.6,6.25,3.0,6.75,,,,N1
02036842,7.4,6.25,4.0,6.0,5.0,5.5,,,,N1
02036843,8.4,4.25,7.4,9.0,9.0,4.0,,,,N1
02036844,7.0,5.75,6.2,7.0,6.5,6.25,,,,N1
02036845,8.0,7.75,7.2,7.75,8.5,7.75,,,,N1
02036846,6.2,8.0,7.4,4.5,5.0,6.5,,,,N1
02036847,7.8,8.0,9.4,8.0,6.25,6.0,,,,N1
02036848,8.6,3.25,8.8,9.0,4.75,7.0,,,,N1
02036849,5.6,4.0,8.2,4.75,5.5,8.25,,,,N1
02036850,7.0,4.25,5.8,5.75,5.25,4.5,,,,N1
02036851,7.2,6.75,7.0,6.5,7.0,6.5,,,,N1
02036852,5.4,4.75,6.2,6.25,3.0,3.0,,,,N1
02036853,8.6,5.25,7.6,8.0,8.5,7.25,,,,N1
02036854,8.6,8.75,8.8,,,,7.25,7.5,8.75,N1
02036855,7.8,8.5,8.0,,,,7.5,8.5,8.5,N1
02036856,6.2,7.5,5.8,,,,7.75,7.25,8.25,N1
02036857,8.2,8.5,7.8,,,,8.5,8.25,9.0,N1
02036858,8.0,8.0,7.8,,,,5.75,8.0,9.5,N1
02036859,7.8,8.25,8.8,,,,7.75,7.75,8.0,N1
02036860,6.2,6.75,6.8,,,,8.25,7.0,9.25,N1
02036861,4.4,7.75,5.0,,,,5.25,8.25,8.75,N1
02036862,8.0,8.75,9.2,,,,8.0,8.5,8.75,N1
02036863,8.0,8.0,9.4,,,,6.5,8.25,8.5,N1
02036864,7.6,6.75,5.4,,,,7.5,7.25,9.25,N1
02036865,5.4,7.5,8.6,,,,8.5,7.5,9.0,N1
02036866,7.6,6.75,8.8,8.0,4.25,4.75,,,,N1
02036867,8.6,7.25,5.6,8.25,7.5,7.25,,,,N1
02036868,7.6,5.75,8.0,7.0,7.0,5.25,,,,N1
02036869,7.6,6.25,7.2,8.25,5.0,5.75,,,,N1
02036870,8.2,7.5,7.8,5.25,8.0,6.75,,,,N1
02036871,7.2,7.0,8.2,8.25,4.5,6.75,,,,N1
02036872,6.2,6.5,5.2,6.0,6.75,7.25,,,,N1
02036873,7.6,7.0,8.6,7.5,3.75,5.25,,,,N1
02036874,5.6,6.0,7.6,6.5,6.0,5.75,,,,N1
02036875,8.0,7.5,7.8,5.5,7.25,6.75,,,,N1
02036876,5.8,5.75,4.6,5.0,4.5,5.5,,,,N1
02036877,7.6,5.0,5.6,6.5,6.5,4.0,,,,N1
02036878,9.0,7.0,9.2,8.75,8.5,8.0,,,,N1
02036879,8.0,6.75,6.0,6.75,8.0,6.75,,,,N1
02036880,7.8,6.75,5.6,7.75,7.25,6.0,,,,N1
02036881,8.0,6.0,8.6,6.5,5.25,6.75,,,,N1
02036882,7.4,7.0,7.8,4.25,7.25,7.5,,,,N1
02036883,7.6,7.75,6.6,7.75,8.0,6.75,,,,N1
02036884,6.6,5.75,9.4,7.0,6.25,7.25,,,,N1
02036885,8.2,8.0,7.6,3.25,9.0,8.5,,,,N1
02036886,6.8,7.25,6.8,4.25,5.25,4.75,,,,N1
02036887,7.6,5.75,5.6,5.5,6.25,6.75,,,,N1
02036888,6.8,7.25,10.0,4.75,5.0,8.75,,,,N1
02036889,8.0,6.5,8.0,5.75,7.0,6.5,,,,N1
02036890,5.8,6.75,5.4,5.25,6.0,6.5,,,,N1
02036891,7.2,7.25,6.0,6.0,5.25,6.25,,,,N1
02036892,7.6,7.0,4.4,6.0,7.0,5.75,,,,N1
02036893,7.6,7.25,7.8,5.75,6.25,6.25,,,,N1
02036894,6.4,6.75,8.2,4.0,3.5,4.5,,,,N1
02036895,8.0,6.5,8.8,7.0,7.5,8.0,,,,N1
02036896,7.6,5.75,9.0,7.5,7.5,7.25,,,,N1
02036897,7.6,4.0,8.0,7.75,5.25,5.0,,,,N1
02036898,8.4,4.25,7.0,7.25,8.25,6.75,,,,N1
02036899,6.6,6.25,5.6,7.5,6.0,6.25,,,,N1
02036900,7.8,7.75,8.6,5.25,7.25,6.0,,,,N1
02036901,6.6,5.75,7.4,5.5,5.25,5.25,,,,N1
02036902,7.4,5.0,6.2,3.75,4.0,6.0,,,,N1
02036903,7.8,6.25,8.6,5.75,8.0,8.75,,,,N1
02036904,8.2,7.5,8.8,8.5,5.75,6.75,,,,N1
02036905,8.6,6.25,7.2,8.5,6.75,7.75,,,,N1
02036906,8.0,7.75,9.4,8.0,5.0,8.25,,,,N1
02036907,7.2,6.25,8.2,6.5,8.0,6.25,,,,N1
02036908,7.8,7.25,6.6,7.5,7.5,5.5,,,,N1
02036909,7.0,7.25,8.4,7.0,6.5,5.5,,,,N1
02036910,8.6,6.5,7.8,7.0,8.5,6.5,,,,N1
02036911,8.0,5.75,9.4,7.75,5.5,6.25,,,,N1
02036912,8.0,6.0,8.8,5.75,6.0,6.0,,,,N1
02036913,8.6,7.0,6.8,8.0,6.75,6.75,,,,N1
02036914,7.8,6.25,6.2,7.25,3.5,4.25,,,,N1
02036915,8.8,7.5,8.4,7.75,6.25,7.0,,,,N1
02036916,6.8,6.0,8.4,5.5,6.0,5.25,,,,N1
02036917,6.4,6.25,5.0,4.5,5.0,6.0,,,,N1
02036918,7.8,7.0,7.6,9.0,8.0,8.75,,,,N1
02036919,8.0,6.0,9.4,8.5,6.25,6.25,,,,N1
02036920,6.6,7.0,7.8,3.75,7.75,5.5,,,,N1
02036921,8.4,6.5,8.4,7.75,6.75,6.75,,,,N1
02036922,7.6,8.5,7.0,4.0,6.25,7.25,,,,N1
02036923,8.4,7.5,8.6,7.75,6.5,7.25,,,,N1
02036924,7.0,7.75,8.2,7.25,4.75,5.5,,,,N1
02036925,8.0,6.5,8.6,8.0,6.25,5.75,,,,N1
02036926,6.2,7.75,4.4,7.5,6.5,3.5,,,,N1
02036927,8.2,8.5,6.4,8.0,8.75,7.5,,,,N1
02036928,7.6,8.5,7.6,8.75,3.25,5.25,,,,N1
02036929,8.4,7.25,8.8,7.25,6.75,6.25,,,,N1
02036930,7.6,6.75,6.8,4.0,8.75,7.25,,,,N1
02036931,8.4,8.25,8.2,4.5,6.25,5.5,,,,N1
02036932,8.8,7.75,6.8,6.0,9.75,8.25,,,,N1
02036933,8.2,4.25,7.8,8.5,7.75,5.75,,,,N1
02036934,5.8,7.0,4.2,4.25,3.0,6.0,,,,N1
02036935,8.0,5.75,6.8,7.5,7.75,6.5,,,,N1
02036936,8.4,6.0,5.6,7.0,8.5,5.5,,,,N1
02036937,6.0,4.0,5.6,7.25,7.75,7.75,,,,N1
02036938,7.8,6.0,7.6,6.0,6.25,6.5,,,,N1
02036939,8.6,5.25,8.2,8.0,6.5,7.5,,,,N1
02036940,8.4,6.5,7.2,6.5,8.25,8.25,,,,N1
02036941,6.8,5.75,3.8,4.5,3.75,4.5,,,,N1
02036942,8.4,7.75,9.0,6.5,6.25,5.75,,,,N1
02036943,8.0,6.25,5.2,8.5,7.5,7.5,,,,N1
02036944,7.2,7.0,7.4,6.25,5.5,4.75,,,,N1
02036945,7.8,7.0,7.6,8.0,3.5,5.25,,,,N1
02036946,7.8,7.25,7.8,6.25,7.0,7.75,,,,N1
02036947,7.6,6.5,8.4,7.5,6.5,6.75,,,,N1
02036948,8.6,7.75,9.4,8.0,8.25,8.5,,,,N1
02036949,6.8,8.0,4.4,6.0,6.0,6.75,,,,N1
02036950,8.8,8.0,8.4,7.0,5.0,6.25,,,,N1
02036951,8.0,7.5,5.4,7.5,7.75,6.75,,,,N1
02036952,8.0,7.5,8.6,8.25,5.75,6.5,,,,N1
02036953,7.2,5.75,3.0,4.75,5.25,5.5,,,,N1
02036954,7.4,7.75,8.0,6.0,5.0,7.0,,,,N1
02036955,8.0,7.25,8.6,7.0,7.25,7.75,,,,N1
02036956,7.8,6.5,7.0,7.5,8.75,5.25,,,,N1
02036957,6.6,7.5,6.8,3.25,6.25,5.75,,,,N1
02036958,8.0,7.25,7.0,5.75,4.25,4.25,,,,N1
02036959,6.8,7.75,5.0,,,,8.5,9.25,9.5,N1
02036960,6.4,7.5,8.2,,,,6.0,7.25,7.75,N1
02036961,4.8,6.25,8.4,,,,8.75,7.5,8.5,N1
02036962,7.0,7.75,6.4,,,,8.0,8.25,8.75,N1
02036963,8.4,7.25,8.2,,,,5.5,7.5,8.0,N1
02036964,6.6,7.25,5.0,,,,7.0,6.5,9.0,N1
02036965,6.2,7.5,4.6,,,,4.5,7.25,7.25,N1
02036966,8.2,9.25,7.4,,,,6.75,8.0,8.75,N1
02036967,7.0,7.25,7.4,,,,6.75,8.5,8.5,N1
02036968,7.2,7.75,8.4,,,,6.5,6.5,8.5,N1
02036969,6.8,6.75,9.0,,,,8.5,8.5,9.5,N1
02036970,4.6,8.0,8.6,,,,9.0,9.25,8.75,N1
02036971,7.8,6.75,7.8,,,,6.5,7.5,9.0,N1
02036972,8.8,9.0,8.8,,,,6.0,7.75,8.25,N1
02036973,7.4,8.5,7.8,,,,6.0,6.75,8.5,N1
02036974,8.0,8.25,7.4,,,,7.75,8.0,8.5,N1
02036975,8.4,8.0,8.2,,,,8.75,8.75,9.0,N1
02036976,7.6,8.25,6.0,,,,7.25,8.75,8.75,N1
02036977,7.0,8.0,8.0,,,,8.75,8.75,8.25,N1
02036978,7.4,7.5,8.2,,,,8.25,7.75,9.5,N1
02036979,8.2,8.25,9.0,,,,7.0,7.75,8.25,N1
02036980,8.0,7.75,8.0,,,,7.25,7.5,7.75,N1
02036981,7.8,7.0,4.4,,,,7.5,7.5,9.0,N1
02036982,5.8,7.0,,4.0,4.75,6.25,,,,
02036983,5.2,8.25,7.0,,,,5.25,7.75,8.5,N1
02036984,6.2,9.0,7.4,,,,7.5,8.5,9.25,N1
02036985,6.8,5.75,4.4,,,,7.0,6.5,7.75,N1
02036986,6.2,7.25,6.4,,,,6.25,7.25,7.5,N1
02036987,7.4,8.0,6.0,,,,6.0,7.5,8.75,N1
02036988,7.6,8.25,8.0,,,,7.5,6.75,8.5,N1
02036989,7.2,6.5,9.6,,,,9.25,8.5,9.0,N1
02036990,7.0,7.0,7.2,,,,7.25,8.75,8.75,N1
02036991,7.2,7.75,8.0,,,,6.0,9.0,9.0,N1
02036992,7.2,6.0,4.8,,,,3.75,5.75,7.75,N1
02036993,7.4,8.0,8.4,,,,7.25,8.0,7.75,N1
02036994,6.4,7.5,6.4,,,,7.75,7.75,8.75,N1
02036995,7.8,6.75,8.4,,,,8.25,8.0,9.0,N1
02036996,4.6,7.5,8.2,,,,7.25,8.0,8.0,N1
02036997,8.4,7.5,8.6,,,,8.25,8.25,8.25,N1
02036998,7.6,7.5,6.8,,,,5.5,7.75,8.0,N1
02036999,7.2,8.5,7.8,,,,7.75,8.25,8.0,N1
02037000,7.2,6.75,7.0,,,,8.25,8.25,9.5,N1
